   1.9530000000000000e+03   7.0000000000000000e+00   1.9540000000000000e+03   5.0000000000000000e+00
   1.9570000000000000e+03   8.0000000000000000e+00   1.9580000000000000e+03   4.0000000000000000e+00
   1.9600000000000000e+03   4.0000000000000000e+00   1.9610000000000000e+03   2.0000000000000000e+00
   1.9690000000000000e+03   1.2000000000000000e+01   1.9700000000000000e+03   1.1000000000000000e+01
   1.9730000000000000e+03   1.1000000000000000e+01   1.9750000000000000e+03   3.0000000000000000e+00
   1.9800000000000000e+03   1.0000000000000000e+00   1.9800000000000000e+03   7.0000000000000000e+00
   1.9810000000000000e+03   7.0000000000000000e+00   1.9820000000000000e+03   1.1000000000000000e+01
   1.9900000000000000e+03   7.0000000000000000e+00   1.9910000000000000e+03   3.0000000000000000e+00
   2.0010000000000000e+03   3.0000000000000000e+00   2.0010000000000000e+03   1.1000000000000000e+01
   2.0070000000000000e+03   1.2000000000000000e+01   2.0090000000000000e+03   6.0000000000000000e+00
