1990 10 1014 10.18
1990 11 1145 10.01
1990 12 969 9.67
1991 1 798 9.64
1991 2 965 9.37
1991 3 921 9.5
1991 4 1001 9.49
1991 5 996 9.47
1991 6 1036 9.62
1991 7 1063 9.58
1991 8 1049 9.24
1991 9 1015 9.01
1991 10 1079 8.86
1991 11 1103 8.71
1991 12 1079 8.5
1992 1 1176 8.43
1992 2 1250 8.76
1992 3 1297 8.94
1992 4 1099 8.85
1992 5 1214 8.67
1992 6 1145 8.51
1992 7 1139 8.13
1992 8 1226 7.98
1992 9 1186 7.92
1992 10 1244 8.09
1992 11 1214 8.31
1992 12 1227 8.22
1993 1 1210 8.02
1993 2 1210 7.68
1993 3 1083 7.5
1993 4 1258 7.47
1993 5 1260 7.47
1993 6 1280 7.42
1993 7 1254 7.21
1993 8 1300 7.11
1993 9 1343 6.92
1993 10 1392 6.83
1993 11 1376 7.16
1993 12 1533 7.17
1994 1 1272 7.06
1994 2 1337 7.15
1994 3 1564 7.68
1994 4 1465 8.32
1994 5 1526 8.6
1994 6 1409 8.4
1994 7 1439 8.61
1994 8 1450 8.51
1994 9 1474 8.64
1994 10 1450 8.93
1994 11 1511 9.17
1994 12 1455 9.2
1995 1 1407 9.15
1995 2 1316 8.83
1995 3 1249 8.46
1995 4 1267 8.32
1995 5 1314 7.96
1995 6 1281 7.57
1995 7 1461 7.61
1995 8 1416 7.86
1995 9 1369 7.64
1995 10 1369 7.48
1995 11 1452 7.38
1995 12 1431 7.2
1996 1 1467 7.03
1996 2 1491 7.08
1996 3 1424 7.62
1996 4 1516 7.93
1996 5 1504 8.07
1996 6 1467 8.32
1996 7 1472 8.25
1996 8 1557 8
1996 9 1475 8.23
1996 10 1392 7.92
1996 11 1489 7.62
1996 12 1370 7.6
1997 1 1355 7.82
1997 2 1486 7.65
1997 3 1457 7.9
1997 4 1492 8.14
1997 5 1442 7.94
1997 6 1494 7.69
1997 7 1437 7.5
1997 8 1390 7.48
1997 9 1546 7.43
1997 10 1520 7.29
1997 11 1510 7.21
1997 12 1566 7.1
1998 1 1525 6.99
1998 2 1584 7.04
1998 3 1567 7.13
1998 4 1540 7.14
1998 5 1536 7.14
1998 6 1641 7
1998 7 1698 6.95
1998 8 1614 6.92
1998 9 1582 6.72
1998 10 1715 6.71
1998 11 1660 6.87
1998 12 1792 6.72
1999 1 1748 6.79
1999 2 1670 6.81
1999 3 1710 7.04
1999 4 1553 6.92
1999 5 1611 7.15
1999 6 1559 7.55
1999 7 1669 7.63
1999 8 1648 7.94
1999 9 1635 7.82
1999 10 1608 7.85
1999 11 1648 7.74
1999 12 1708 7.91
2000 1 1636 8.21
2000 2 1737 8.33
2000 3 1604 8.24
2000 4 1626 8.15
2000 5 1575 8.52
2000 6 1559 8.29
2000 7 1463 8.15
2000 8 1541 8.03
2000 9 1507 7.91
2000 10 1549 7.8
2000 11 1551 7.75
2000 12 1532 7.38
2001 1 1600 7.03
2001 2 1625 7.05
2001 3 1590 6.95
2001 4 1649 7.08
2001 5 1605 7.15
2001 6 1636 7.16
2001 7 1670 7.13
2001 8 1567 6.95
2001 9 1562 6.82
2001 10 1540 6.62
2001 11 1602 6.66
2001 12 1568 7.07
2002 1 1698 7
2002 2 1829 6.89
2002 3 1642 7.01
2002 4 1592 6.99
2002 5 1764 6.81
2002 6 1717 6.65
2002 7 1655 6.49
2002 8 1633 6.29
2002 9 1804 6.09
2002 10 1648 6.11
2002 11 1753 6.07
2002 12 1788 6.05
2003 1 1853 5.92
2003 2 1629 5.84
2003 3 1726 5.75
2003 4 1643 5.81
2003 5 1751 5.48
2003 6 1867 5.23
2003 7 1897 5.63
2003 8 1833 6.26
2003 9 1939 6.15
2003 10 1967 5.95
2003 11 2083 5.93
2003 12 2057 5.88
2004 1 1911 5.74
2004 2 1846 5.64
2004 3 1998 5.45
2004 4 2003 5.83
2004 5 1981 6.27
2004 6 1828 6.29
2004 7 2002 6.06
2004 8 2024 5.87
2004 9 1905 5.75
2004 10 2072 5.72
2004 11 1782 5.73
2004 12 2042 5.75
2005 1 2144 5.71
2005 2 2207 5.63
2005 3 1864 5.93
2005 4 2061 5.86
2005 5 2025 5.72
2005 6 2068 5.58
2005 7 2054 5.7
2005 8 2095 5.82
2005 9 2151 5.77
2005 10 2065 6.07
2005 11 2147 6.33
2005 12 1994 6.27
2006 1 2273 6.15
2006 2 2119 6.25
2006 3 1969 6.32
2006 4 1821 6.51
2006 5 1942 6.6
2006 6 1802 6.68
2006 7 1737 6.76
2006 8 1650 6.52
2006 9 1720 6.4
2006 10 1491 6.36
2006 11 1570 6.24
2006 12 1649 6.14
2007 1 1409 6.22
2007 2 1480 6.29
2007 3 1495 6.16
2007 4 1490 6.18
2007 5 1415 6.26
2007 6 1448 6.66
2007 7 1354 6.7
2007 8 1330 6.57
2007 9 1183 6.38
2007 10 1264 6.38
2007 11 1197 6.21
2007 12 1037 6.1
2008 1 1084 5.76
2008 2 1103 5.92
2008 3 1005 5.97
2008 4 1013 5.92
2008 5 973 6.04
2008 6 1046 6.32
2008 7 923 6.43
2008 8 844 6.48
2008 9 820 6.04
2008 10 777 6.2
2008 11 652 6.09
2008 12 560 5.33
2009 1 490 5.06
2009 2 582 5.13
2009 3 505 5
2009 4 478 4.81
2009 5 540 4.86
