   1.9460000e+03             NaN             NaN             NaN   1.1870845e-01   9.2117759e-02
   1.9462500e+03             NaN             NaN             NaN   1.4652015e-01   1.0760073e-01
   1.9465000e+03             NaN             NaN             NaN   1.4504820e-01   1.2007011e-01
   1.9467500e+03             NaN             NaN             NaN   1.4870690e-01   1.3017241e-01
   1.9470000e+03   7.3009454e+00             NaN             NaN   1.4189474e-01   1.3978947e-01
   1.9472500e+03   7.3061286e+00   5.6931039e-02             NaN   1.3460740e-01   1.3959285e-01
   1.9475000e+03   7.3086098e+00   8.6047010e-02             NaN   1.3352389e-01   1.4536546e-01
   1.9477500e+03   7.3240944e+00   1.1175896e-01             NaN   1.6097369e-01   1.5547703e-01
   1.9480000e+03   7.3381731e+00   8.4004483e-02   3.7333333e-02   1.7254601e-01   1.5835890e-01
   1.9482500e+03   7.3537223e+00   6.3254266e-02   3.6666667e-02   1.7967874e-01   1.5763915e-01
   1.9485000e+03   7.3578113e+00   6.6742808e-02   3.7666667e-02   1.8337587e-01   1.5712723e-01
   1.9487500e+03   7.3597222e+00  -3.6821737e-02   3.8333333e-02   1.7815675e-01   1.5638607e-01
   1.9490000e+03   7.3456230e+00  -3.8209580e-02   4.6666667e-02   1.5125740e-01   1.4977811e-01
   1.9492500e+03   7.3428439e+00  -4.4497781e-03   5.8666667e-02   1.2753188e-01   1.4703676e-01
   1.9495000e+03   7.3541064e+00  -3.3592017e-02   6.7000000e-02   1.3917910e-01   1.4402985e-01
   1.9497500e+03   7.3437496e+00  -9.5717387e-03   6.9666667e-02   1.3253012e-01   1.5022590e-01
   1.9500000e+03   7.3843000e+00  -1.2423222e-02   6.4000000e-02   1.6104461e-01   1.5342764e-01
   1.9502500e+03   7.4138497e+00   3.0389705e-02   5.5666667e-02   1.7502631e-01   1.6485444e-01
   1.9505000e+03   7.4518222e+00   7.2815050e-02   4.6333333e-02   1.8545455e-01   1.7190083e-01
   1.9507500e+03   7.4695972e+00   8.0073457e-02   4.2333333e-02   2.0993947e-01   1.6502071e-01
   1.9510000e+03   7.4807103e+00   1.5929797e-01   3.5000000e-02   1.8858184e-01   1.5699970e-01
