   2.3225740e+00   1.5644865e+00   1.6209987e+00   2.9014216e+00   2.8449094e+00
   2.3737889e+00   1.6130466e+00   1.6590349e+00   2.9195529e+00   2.8735646e+00
   2.4525700e+00   1.5826072e+00   1.6458056e+00   3.0023603e+00   2.9391619e+00
   2.5003124e+00   1.5611193e+00   1.5946956e+00   3.0540012e+00   3.0204249e+00
   2.5217474e+00   1.5701710e+00   1.5533484e+00   3.0742199e+00   3.0910425e+00
   2.5055504e+00   1.5941389e+00   1.5730703e+00   3.0879924e+00   3.1090610e+00
   2.5055504e+00   1.5930415e+00   1.5827697e+00   3.1164887e+00   3.1267605e+00
   2.5663663e+00   1.5934696e+00   1.5749517e+00   3.1427289e+00   3.1612467e+00
   2.5595811e+00   1.5951865e+00   1.5672376e+00   3.1584037e+00   3.1863526e+00
   2.5490076e+00   1.5954264e+00   1.5802083e+00   3.1752583e+00   3.1904764e+00
   2.5583430e+00   1.6066958e+00   1.5931774e+00   3.1973253e+00   3.2108437e+00
   2.5791911e+00   1.6405984e+00   1.6054459e+00   3.1877153e+00   3.2228678e+00
   2.5307029e+00   1.6637852e+00   1.6294787e+00   3.1724968e+00   3.2068032e+00
   2.4777310e+00   1.6637852e+00   1.6582281e+00   3.1724968e+00   3.1780538e+00
   2.4976803e+00   1.6586282e+00   1.6586282e+00   3.1696856e+00   3.1696856e+00
   2.5159476e+00   1.6548065e+00   1.6505960e+00   3.1654750e+00   3.1696856e+00
   2.5546193e+00   1.6857834e+00   1.6661333e+00   3.1584037e+00   3.1780538e+00
   2.6207867e+00   1.7020594e+00   1.6853226e+00   3.1654750e+00   3.1822118e+00
   2.6985923e+00   1.6936845e+00   1.6559579e+00   3.1891174e+00   3.2268440e+00
   2.7438634e+00   1.7177416e+00   1.6463425e+00   3.2095121e+00   3.2809112e+00
   2.7546135e+00   1.7119465e+00   1.6307910e+00   3.2438806e+00   3.3250360e+00
   2.7433466e+00   1.7168453e+00   1.6447773e+00   3.2529680e+00   3.3250360e+00
   2.7055671e+00   1.7199072e+00   1.6661907e+00   3.2568265e+00   3.3105430e+00
   2.7329943e+00   1.7250990e+00   1.6939953e+00   3.2721132e+00   3.3032170e+00
   2.7546135e+00   1.7451666e+00   1.7140629e+00   3.2721132e+00   3.3032170e+00
